time,flux
2146.452489,1.000453767
2146.513785,1.000300284
2146.534218,1.000205616
2146.55465,1.000196164
2146.575082,1.000163412
2146.595514,1.000193478
2146.615946,1.000122608
2146.636378,1.00023802
2146.65681,1.000441674
2146.677242,1.000376067
2146.697674,1.000231598
2146.718106,1.000192943
2146.738538,0.999874776
2146.758971,0.999848067
2146.779403,0.999849196
2146.799835,0.99995484
2146.820267,1.000194855
2146.840699,1.000216188
2146.861131,1.000124175
2146.881563,1.000162687
2146.901995,1.000176569
2146.922427,1.000246007
2146.942859,1.000388982
2146.963292,1.000515421
2146.983724,1.000262436
2147.004156,1.000316002
2147.024588,1.000275637
2147.04502,1.000270781
2147.065452,1.000203574
2147.085884,1.000213016
2147.106316,1.000302566
2147.126748,1.00012195
2147.14718,1.000173327
2147.188045,1.0002816
2147.208477,1.000247624
2147.228909,1.00013788
2147.249341,1.000048931
2147.269773,1.000051599
2147.290205,1.000104794
2147.310637,1.000127599
2147.351501,1.000298884
2147.371933,1.000212909
2147.392365,1.000133864
2147.412798,1.000282804
2147.43323,1.000050122
2147.453662,1.000128278
2147.494526,1.000040144
2147.514958,0.999846449
2147.53539,0.999695291
2147.555822,0.999626202
2147.576254,0.999806697
2147.596686,1.000092586
2147.617118,0.999947339
2147.63755,0.999950625
2147.657983,0.999897443
2147.678415,1.000012558
2147.698847,0.999731839
2147.719279,0.999874172
2147.739711,0.999925308
2147.760143,0.99993378
2147.780575,0.999891188
2147.801007,0.999877459
2147.821439,1.000015758
2147.841871,0.999899369
2147.862303,0.999954986
2147.882735,0.999889965
2147.903167,0.999839774
2147.923599,0.999899364
2147.944032,0.999833153
2147.984896,0.999844947
2148.005328,0.999889992
2148.02576,0.99986915
2148.046192,0.999925744
2148.066624,0.999906274
2148.087056,0.999786896
2148.107488,1.000017895
2148.12792,0.999934454
2148.148352,0.999872254
2148.168784,0.999868083
2148.189216,0.999827606
2148.209648,0.999773735
2148.23008,0.999632848
2148.250513,0.999619708
2148.270945,0.999703175
2148.291377,0.999735684
2148.311809,0.999630828
2148.332241,0.999384762
2148.373105,0.999494708
2148.393537,0.999715636
2148.413969,0.999884035
2148.434401,0.999821416
2148.475265,0.999747703
2148.495697,0.999851204
2148.516129,0.99989354
2148.536561,0.999866899
2148.556993,0.999835477
2148.577425,0.999833166
2148.597858,0.999869769
2148.61829,0.99993172
2148.638722,0.999773578
2148.659154,0.999940092
2148.679586,0.999702441
2148.700018,0.999799036
2148.740882,0.999796311
2148.761314,0.999769834
2148.781746,0.999955389
2148.802178,0.99981905
2148.82261,0.999800761
2148.843042,0.999851389
2148.863474,0.999825376
2148.883906,0.999710876
2148.904338,0.999695008
2148.92477,0.999753795
2148.945202,0.999706676
2148.965634,0.999673906
2148.986066,0.999708783
2149.006499,0.999822775
2149.026931,0.999695102
2149.047363,0.999906431
2149.067795,0.999766831
2149.088227,0.999625142
2149.108659,0.999548859
2149.129091,0.999479159
2149.149523,0.999464718
2149.169955,0.999706499
2149.190387,0.999804763
2149.210819,0.999779394
2149.231251,0.999682798
2149.251683,0.999691584
2149.272115,0.999631203
2149.312979,0.999781389
2149.333411,0.999796637
2149.353843,0.999637089
2149.374275,0.999728591
2149.394707,0.999715154
2149.415139,0.999817329
2149.456003,0.999752262
2149.476436,0.999767726
2149.496868,0.999709869
2149.517299,0.9997962
2149.537732,0.999724018
2149.558164,0.999709455
2149.578596,0.999772426
2149.599028,0.999670154
2149.639892,0.999851715
2149.660324,0.999822649
2149.680756,0.999918992
2149.701188,0.99968526
2149.742052,0.999768641
2149.762484,0.999737674
2149.782916,0.999686322
2149.803348,0.999735561
2149.82378,0.999766101
2149.844212,0.999769321
2149.864644,0.999730126
2149.885076,0.999602353
2149.905508,0.997282719
2149.946372,0.987969681
2149.966804,0.987235185
2149.987236,0.987225832
2150.007668,0.987830525
2150.0281,0.989895032
2150.048532,0.997626222
2150.068964,0.999716004
2150.089396,0.999845371
2150.109828,0.99972237
2150.13026,0.999648556
2150.150692,0.999908064
2150.171124,0.999749759
2150.191556,0.999555672
2150.211988,0.999692186
2150.252852,0.99988129
2150.273284,0.999796483
2150.293716,0.999953093
2150.314148,0.99980767
2150.334581,0.999772232
2150.355012,0.999821133
2150.375445,0.999817236
2150.395876,0.999792545
2150.416308,0.999763078
2150.436741,0.999767564
2150.457172,0.999821001
2150.477604,0.999742312
2150.498037,0.999771804
2150.518468,0.999904554
2150.538901,0.999812163
2150.579765,0.99991195
2150.620629,0.999611135
2150.641061,0.999967544
2150.681925,0.999732125
2150.702357,0.999712285
2150.722789,0.999579447
2150.743221,0.999596044
2150.763653,0.999762089
2150.784085,0.999684917
2150.804517,0.999742258
2150.824949,0.999816865
2150.845381,0.99976472
2150.865813,0.99988438
2150.886245,0.999702696
2150.906677,0.999760828
2150.927109,0.999726277
2150.947541,0.999799128
2150.967973,0.999802001
2150.988405,0.999785249
2151.008837,0.999910302
2151.029269,0.999885
2151.049701,0.999792476
2151.070133,0.999732943
2151.090565,0.999731627
2151.110997,0.999842056
2151.131429,0.999812055
2151.151861,0.999786223
2151.172293,0.999840626
2151.192725,0.999878902
2151.213157,0.999717402
2151.233589,0.999699534
2151.254021,0.999773908
2151.274453,0.999684401
2151.294885,0.999687964
2151.315317,0.99983403
2151.335749,0.999757606
2151.356181,0.999785578
2151.376613,0.999700928
2151.397045,0.999889546
2151.417476,0.999885721
2151.437909,0.999664071
2151.458341,0.999757424
2151.478772,0.999670334
2151.499205,0.999466363
2151.519637,0.999500645
2151.540068,0.999598768
2151.5605,0.99976361
2151.580932,0.999701963
2151.601364,0.999789197
2151.621797,0.999610712
2151.642228,0.999750278
2151.66266,0.999581567
2151.683092,0.999845105
2151.703524,0.999951145
2151.723956,0.999814156
2151.744388,0.99972109
2151.785252,0.999720309
2151.805684,0.999691022
2151.826116,0.999784905
2151.846548,0.999739785
2151.86698,0.999705147
2151.907844,0.999791809
2151.928276,0.999726251
2151.948708,0.999791528
2151.96914,0.999871841
2151.989572,0.999848771
2152.010004,0.999906833
2152.030436,0.999713594
2152.050868,0.999761233
2152.0713,0.99984519
2152.091732,0.999678264
2152.112164,0.999816357
2152.132596,0.999670491
2152.153028,0.999895415
2152.17346,0.999839255
2152.193892,0.999735049
2152.214324,0.99988822
2152.234756,0.999630942
2152.255188,0.999685921
2152.27562,0.99941201
2152.296052,0.99945641
2152.316484,0.999516225
2152.336916,0.999660318
2152.357348,0.999783177
2152.37778,0.999926328
2152.398212,0.999886871
2152.418643,0.99982711
2152.439075,0.999744039
2152.459508,0.999905356
2152.479939,0.999858213
2152.500371,0.999811624
2152.520803,0.999870226
2152.541235,0.999813277
2152.561667,0.999795425
2152.582099,0.999894796
2152.602531,0.999675431
2152.622963,0.999714356
2152.643395,0.999693781
2152.663827,0.999956531
2152.684259,0.999828805
2152.704691,0.999648007
2152.725123,0.999609052
2152.745555,0.999812799
2152.765987,0.999808495
2152.786419,0.999712502
2152.806851,0.999690714
2152.827283,0.999799232
2152.847715,0.999885641
2152.868147,0.999785554
2152.888579,0.99981071
2152.909011,0.999794088
2152.929443,0.999844109
2152.949875,0.999759932
2152.970306,0.999816343
2152.990738,0.999891683
2153.01117,0.999954271
2153.031602,0.999910438
2153.052034,0.999640298
2153.072466,0.999689478
2153.092898,0.999802647
2153.11333,0.999638498
2153.133762,0.999877877
2153.154194,0.999839504
2153.174626,0.999804346
2153.195058,0.999729178
2153.21549,0.999964175
2153.235922,0.999921729
2153.256354,1.000068273
2153.31765,0.99977968
2153.338082,0.99987302
2153.378945,0.999668325
2153.399377,0.999687725
2153.419809,0.999772548
2153.440241,0.999854052
2153.460673,0.999912764
2153.481105,0.999731033
2153.501537,0.999720179
2153.521969,0.999797617
2153.542401,0.999790972
2153.562833,0.99969707
2153.583265,0.999930671
2153.603697,0.999727386
2153.624129,0.999697355
2153.644561,0.999846373
2153.664993,0.999718615
2153.705857,0.999917821
2153.726289,0.999799785
2153.74672,0.999878464
2153.767152,0.999878902
2153.787584,0.999797003
2153.808016,0.99975078
2153.828448,0.999537374
2153.889744,0.999482693
2153.910176,0.999730715
2153.930608,0.999961507
2153.95104,0.999756474
2153.971472,0.999922903
2153.991904,0.999626919
2154.012336,0.999723938
2154.032768,0.99973239
2154.053199,0.999767342
2154.073631,0.993467909
2154.094063,0.988686278
2154.114495,0.987325278
2154.134927,0.987157221
2154.155359,0.987451898
2154.175791,0.988510267
2154.196223,0.992703161
2154.216655,0.999732093
2154.237087,0.999810072
2154.257519,0.999797144
2154.277951,0.999690582
2154.298383,0.999915708
2154.318815,0.999935861
2154.339247,0.999710252
2154.359678,0.999839869
2154.38011,0.999918037
2154.400542,0.999846006
2154.420974,0.999900904
2154.441406,0.999789053
2154.461838,0.999799283
2154.48227,1.000055638
2154.502702,0.999839661
2154.523134,0.999837616
2154.543566,0.999797944
2154.563998,0.99985102
2154.58443,0.999772005
2154.604862,0.999859653
2154.625293,0.999709171
2154.645725,0.999551358
2154.666157,0.999583816
2154.686589,0.999748243
2154.707021,0.999720278
2154.727453,0.999749167
2154.747885,0.999866853
2154.768317,0.999807817
2154.788749,0.999762399
2154.809181,0.999885575
2154.829613,0.999668229
2154.850044,0.999998265
2154.870477,0.999694458
2154.890908,0.999567013
2154.91134,0.999836641
2154.931772,0.999797794
2154.952204,0.999796892
2154.972636,0.999810607
2154.993068,0.999734123
2155.0135,0.999865502
2155.033932,0.999723607
2155.054364,0.999759988
2155.074796,0.999830221
2155.095227,0.999657904
2155.115659,0.99980078
2155.136091,0.999823705
2155.156523,0.99976776
2155.176955,0.999767181
2155.197387,0.999826862
2155.217819,0.999735314
2155.238251,0.999039853
2155.258683,0.998891529
2155.279115,0.998888852
2155.299547,0.998791463
2155.319978,0.998771758
2155.34041,0.998779449
2155.360842,0.999027281
2155.381274,0.999015411
2155.401706,0.999684464
2155.422138,0.999457798
2155.44257,0.999632009
2155.463002,0.999416645
2155.483434,0.999592043
2155.503866,0.999668354
2155.524297,1.000003628
2155.544729,0.999792995
2155.565161,0.999872145
2155.585593,0.999724162
2155.606025,0.999711573
2155.626457,0.999733583
2155.646889,0.999650392
2155.667321,0.999617713
2155.687753,0.999671072
2155.708185,0.999580427
2155.728616,0.99977601
2155.749048,0.999624412
2155.76948,0.99965171
2155.789912,0.999770974
2155.851208,0.999838365
2155.87164,0.99981608
2155.892072,0.999841558
2155.912504,0.999871065
2155.932935,0.999886036
2155.953367,0.99983988
2155.973799,0.99981021
2155.994231,0.999542577
2156.014663,0.999787265
2156.035095,0.999956273
2156.055527,0.999794114
2156.075959,0.999713296
2156.096391,0.999841326
2156.116823,0.99963585
2156.137254,0.999614438
2156.157686,0.999769041
2156.178118,0.999827883
2156.19855,0.99977607
2156.218982,0.99952249
2156.239414,0.999589594
2156.259846,0.999661515
2156.280278,0.999693164
2156.300709,0.9999494
2156.321141,0.999881908
2156.402869,0.999911386
2156.423301,0.999893603
2156.443733,0.999926758
2156.464164,0.999665399
2156.484596,0.999820657
2156.505028,0.999837408
2156.52546,0.999799498
2156.545892,0.99966709
2156.566324,0.999831187
2156.586756,0.999962186
2156.607188,0.999907871
2156.62762,0.999883033
2156.648051,0.999976632
2156.668483,1.000035775
2156.688915,0.999761732
2156.709347,0.999995614
2156.729779,0.999748061
2156.750211,0.999799794
2156.770643,0.999887599
2156.791075,0.999872032
2156.811506,0.999915908
2156.831938,1.000050759
2156.85237,0.999891425
2156.872802,0.999751246
2156.893234,0.999855528
2156.913666,0.999838152
2156.934098,0.99991521
2156.95453,1.00000928
2156.974961,0.999901613
2156.995393,0.999668584
